place_id	name	address	distance_miles	google_phone	website	google_maps_url	rating	review_count	site_email	site_phone	contact_form_url	instagram_url	facebook_url	spa_type	team_label	junior_label	priority_score	contact_method	outreach_bucket	outreach_status	notes	crawl_status
ChIJbbApSM9bwokRCQvjuJcBGlI	Vast Medspa	537 Flatbush Ave, Brooklyn, NY 11225, United States	3.1	(347) 425-7555	https://www.vastmedspa.com/	https://www.google.com/maps/place/?q=place_id:ChIJbbApSM9bwokRCQvjuJcBGlI	5	75	jonpinhorn.typedesign@gmail.com; eben@eyebytes.com; info@vastmedspa.com	4637681159		instagram.com/vastmedspa		medical spa	UNKNOWN	NO	61	email	D			OK
ChIJyQBxpidFwokRgxV-7ccDMjw	IC Med SPA	1414 Sheepshead Bay Rd Suite 105, Brooklyn, NY 11235, United States	2.8	(929) 559-1398	https://ic-medspa.com/	https://www.google.com/maps/place/?q=place_id:ChIJyQBxpidFwokRgxV-7ccDMjw	5	12		8752758508	./contact	instagram.com/ic_med_spa_		medical spa	UNKNOWN	NO	53	form	D			OK
ChIJazDR1bdFwokRM6TIfZ0omAU	Angel Touch Medi Spa Brooklyn	76 Battery Ave, Brooklyn, NY 11228, United States	2.0	(917) 573-1929		https://www.google.com/maps/place/?q=place_id:ChIJazDR1bdFwokRM6TIfZ0omAU	5	4							UNKNOWN	NO	11	phone	D			NO_SITE
ChIJW00IHTBdwokRd51GxgAu5gA	The Med Spa - Wellness Center & Beauty B	4711 Church Ave, Brooklyn, NY 11203, United States	3.6	(929) 275-5622	https://www.theemedspanyc.com/	https://www.google.com/maps/place/?q=place_id:ChIJW00IHTBdwokRd51GxgAu5gA	5	12	themedspanyc@gmail.com; themedspanyc@gmail.com; themedspanyc@gmail.com	2545352419	https://www.theemedspanyc.com/contact-5	instagram.com/medspanyc	facebook.com/profile.php	medical spa	UNKNOWN	NO	68	email	D			OK
ChIJ_VfyOt5bwokRMu-HwijphAM	L'Elite MediSpa and Wellness BK	754 Nostrand Ave, Brooklyn, NY 11216, United States	4.1	(347) 627-3374	https://lelitemedispa.com/	https://www.google.com/maps/place/?q=place_id:ChIJ_VfyOt5bwokRMu-HwijphAM	4.8	123	info@lelitemedispa.com	8571428571	https://lelitemedispa.com/wp-content/plugins/constant-contact-forms/assets/css/style.css?ver=2.14.2		facebook.com/lelitemedispaservices	medical spa	TEAM	NO	99	email	C			OK
ChIJnx2R7qtFwokRY_SZoEy5WNw	RENŪ Medical Spa	2398 Coney Island Ave, Brooklyn, NY 11223, United States	1.9	(718) 576-1050		https://www.google.com/maps/place/?q=place_id:ChIJnx2R7qtFwokRY_SZoEy5WNw	5	10							UNKNOWN	NO	15	phone	D			NO_SITE
ChIJbe9EjxlFwokRTczDKq-hewQ	Medical Massage & Wellness, ESTHETICS	2606 East 16th Street, Brooklyn, NY 11235, United States	2.8	(347) 374-6068		https://www.google.com/maps/place/?q=place_id:ChIJbe9EjxlFwokRTczDKq-hewQ	5	85							UNKNOWN	NO	18	phone	D			NO_SITE
ChIJfScx-L9FwokRK2AcjZ6U9PY	Aestheticus	86 Brighton 1st Pl Ste# 1, Brooklyn, NY 11235, United States	3.1	(347) 374-5026	https://www.aestheticusny.com/	https://www.google.com/maps/place/?q=place_id:ChIJfScx-L9FwokRK2AcjZ6U9PY	5	135	admin@aestheticusny.com; admin@aestheticusny.com; admin@aestheticusny.com	1705464280		instagram.com/aestheticus_ny	facebook.com/2008	medical spa	TEAM	NO	89	email	C			OK
ChIJTVMzNixFwokRFXrLyQQNZb0	Nova Vue Med Spa	2965 Ocean Pkwy 6th Floor, Brooklyn, NY 11235, United States	3.0	(929) 383-2525	https://novavuemedspa.com/	https://www.google.com/maps/place/?q=place_id:ChIJTVMzNixFwokRFXrLyQQNZb0	4.4	5	novavuemedspa@gmail.com; novavuemedspa@gmail.com; novavuemedspa@gmail.com	1765564117		instagram.com/novavuemedspa		medical spa	UNKNOWN	NO	51	email	D			OK
ChIJu8_6yZVEwokRa2oIdMsMXK8	Lavish Lab	2113 Avenue U, Brooklyn, NY 11229, United States	2.3	(718) 521-6320		https://www.google.com/maps/place/?q=place_id:ChIJu8_6yZVEwokRa2oIdMsMXK8	4.7	186							UNKNOWN	NO	21	phone	D			NO_SITE
ChIJeyqcuupEwokRT29dyG9Tjnc	Nouvelle Vie Med Spa	1502 E 14th St Ste 2, Brooklyn, NY 11230, United States	1.4	(347) 509-5772	https://nouvelleviemedspa.com/	https://www.google.com/maps/place/?q=place_id:ChIJeyqcuupEwokRT29dyG9Tjnc	4	39	drmarkmedspa@gmail.com	1686352896	https://nouvelleviemedspa.com/index.php/contact-us/	instagram.com/nvmedspa	facebook.com/Nouvellevieny	medical spa	UNKNOWN	NO	68	email	D			OK
ChIJmyuoV8NzREARB7EO7dSMpyc	Original Thai Massage	12 Ilia Chavchavadze Avenue, Tbilisi, Georgia	5580.6	579 34 49 11	https://www.facebook.com/groups/906766688153357	https://www.google.com/maps/place/?q=place_id:ChIJmyuoV8NzREARB7EO7dSMpyc	4.9	109		9067666881			facebook.com/groups	salon	UNKNOWN	NO	34	social	D			OK
ChIJsSy05wlFwokRQvxUU6xEZ4A	Milady Spa	1616 Sheepshead Bay Rd, Brooklyn, NY 11235, United States	2.8	(347) 946-0606	https://www.miladyspa.com/	https://www.google.com/maps/place/?q=place_id:ChIJsSy05wlFwokRQvxUU6xEZ4A	5	24		347-946-0606	information/contact_us.html	instagram.com/milady_spa	facebook.com/milady.spa	medical spa	UNKNOWN	NO	53	form	D			OK
ChIJo6H6uapFwokRPINaRPYRf0g	Medspa of New York	1661 Sheepshead Bay Rd 3rd floor, Brooklyn, NY 11235, United States	2.9	(972) 904-4255	https://medspaofnewyork.com/	https://www.google.com/maps/place/?q=place_id:ChIJo6H6uapFwokRPINaRPYRf0g	5	9		(929) 615-9762	https://medspaofnewyork.com/contact-us/	instagram.com/medspaofnewyork	facebook.com/medspaofnewyork	medical spa	TEAM	NO	74	form	C			OK
ChIJI5n2PpJbwokRdXMUNW9DrQk	Resilience Med Spa	758 5th avenue entrance on 2nd floor, 758 5th Ave, Brooklyn, NY 11232, United States	2.8	(718) 576-3792	http://www.resiliencemedspa.com/	https://www.google.com/maps/place/?q=place_id:ChIJI5n2PpJbwokRdXMUNW9DrQk	4.2	52	resiliencemedspa@gmail.com	(347) 356-2182	https://www.resiliencemedspa.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.4	instagram.com/resiliencemedspa		medical spa	UNKNOWN	NO	68	email	D			OK
ChIJn72YtYJFwokRSPG2hjE6LkU	Vera Levter NP in Family Health	2084 E 8th St, Brooklyn, NY 11223, United States	1.9	(929) 554-1004		https://www.google.com/maps/place/?q=place_id:ChIJn72YtYJFwokRSPG2hjE6LkU	5	20							UNKNOWN	NO	15	phone	D			NO_SITE
ChIJqa5hc2tbwokRLCdDM71WxPA	Zen Essence Spa & Wellness LLC	1115 Flatbush Ave Suite # 8, Brooklyn, NY 11226, United States	2.2	(718) 804-3618	http://www.zenessencespaandwellness.com/	https://www.google.com/maps/place/?q=place_id:ChIJqa5hc2tbwokRLCdDM71WxPA	5	9	filler@godaddy.com; filler@godaddy.com	3524835253				salon	TEAM	NO	56	email	C			OK
ChIJX41ynpJDwokRrUP4O-o85W0	PBK Medspa	1584 E 66th St, Brooklyn, NY 11234, United States	3.9	(718) 444-4468	http://pbkmedspa.com/	https://www.google.com/maps/place/?q=place_id:ChIJX41ynpJDwokRrUP4O-o85W0	5	139	pbkmedspa@gmail.com; seo.loginuser@growth99.com; pbkmedspa@gmail.com	718-444-4468	https://pbkmedspa.com/contact/	instagram.com/pbkmedspa	facebook.com/PBMEDSPA	medical spa	TEAM	NO	99	email	C			OK
ChIJL43aXVNzREAR75hhSaETPbE	Healthy Space	37 Zhiuli Shartava St, Tbilisi 0160, Georgia	5579.4	591 88 63 29	https://healthyspace-massage.com/	https://www.google.com/maps/place/?q=place_id:ChIJL43aXVNzREAR75hhSaETPbE	4.9	85							UNKNOWN	NO	23	phone	D			TIMEOUT
ChIJZ-DA7opPwokRbeyofSu3tSc	The Green Spa & Wellness Center	8804 3rd Ave, Brooklyn, NY 11209, United States	2.4	(718) 921-6100	https://greenspany.com/?y_source=1_MTA5ODkxNDkyNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D	https://www.google.com/maps/place/?q=place_id:ChIJZ-DA7opPwokRbeyofSu3tSc	4.5	244	info@greenspany.com	(718) 921-6100	https://greenspany.com/contact/	instagram.com/thegreenspa	facebook.com/TheGreenSpa	day spa	SOLO	NO	59	email	D			OK
ChIJVRIwXgBFwokRB0ZPJtVdSTk	Sunshine Spa	8314 5th Ave, Brooklyn, NY 11209, United States	2.1	(718) 666-3354	http://www.sunshinespa8.com/	https://www.google.com/maps/place/?q=place_id:ChIJVRIwXgBFwokRB0ZPJtVdSTk	4.7	44	sunshinespa8inc@gmail.com; sunshinespa8inc@gmail.com	718-666-3354				salon	UNKNOWN	NO	38	email	D			OK
ChIJkwK8SG0NREAR23bLRYe2lG0	Deluxe Georgian healthful massage	1 Metekhi St, Tbilisi 0103, Georgia	5582.8	598 56 30 57	https://deluxespa.ge/	https://www.google.com/maps/place/?q=place_id:ChIJkwK8SG0NREAR23bLRYe2lG0	4.8	4	contact@deluxespa.ge; contact@deluxespa.ge	1749897147	https://deluxespa.ge/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.6			salon	UNKNOWN	NO	41	email	D			OK
ChIJ8Xv0KecNREARPJ9UzfgO_Vo	Anna Relax THAI Massage	14 Pavle Ingorokva St, Tbilisi 0108, Georgia	5582.1	591 03 83 46	https://anna-relax.com/	https://www.google.com/maps/place/?q=place_id:ChIJ8Xv0KecNREARPJ9UzfgO_Vo	4.7	87		1765377545	#contact		facebook.com/annarelaxthaimassagetbilisi	salon	UNKNOWN	NO	41	form	D			OK
ChIJAQDACdwMREARU3NBW-1-_iw	Anne Semonin Spa	1 Rose Revolution Square, Tbilisi, Georgia	5581.5	032 240 22 01	https://annesemoninspa.ge/	https://www.google.com/maps/place/?q=place_id:ChIJAQDACdwMREARU3NBW-1-_iw	4.2	138						salon	UNKNOWN	NO	23	phone	D			OK
ChIJRz36fSMNREARsGKxqGLUCs4	Ban na thai massage & spa	Shots 14 Shota Rustaveli Ave, Tbilisi, Georgia	5581.9	591 04 36 18	https://bannaspa.ge/	https://www.google.com/maps/place/?q=place_id:ChIJRz36fSMNREARsGKxqGLUCs4	4.9	370		1241717689				salon	UNKNOWN	NO	26	phone	D			OK
ChIJEf5bDI0NREARuO2lpXnIJzU	PÜROVEL SPA & SPORT	3 SOLIKO VIRSALADZE STREET Swissotel, Tbilisi 0108, Georgia	5581.9	032 220 20 73	https://www.swissotel.com/hotels/tbilisi/	https://www.google.com/maps/place/?q=place_id:ChIJEf5bDI0NREARuO2lpXnIJzU	4.6	28	hb8i0@swissotel.com; hb8i0@swissotel.com; hb8i0@swissotel.com	5743206317	https://www.swissotel.com/contact-us/	instagram.com/swissotelhotelsresorts	facebook.com/2008	salon	TEAM	NO	78	email	C			OK
